text,category
Extradição instrutória. 2. Tráfico internacional de entorpecentes. Atendimento dos requisitos formais. 3. Dupla tipicidade. 4. Dupla punibilidade. 5. O fato de o extraditando ter filho brasileiro não constitui óbice ao deferimento da extradição. Precedentes. 6. Extraditando que responde preso preventivamente a ação penal por fato ocorrido no Brasil. Incidência do art. 89 do Estatuto dos Estrangeiros. 7. Deferimento do pedido extradicional com a ressalva dos artigos 67 e 89 da Lei 6.815/1980.,EXTRADIÇÃO
"EXTRADIÇÃO – PRESCRIÇÃO DA PRETENSÃO PUNITIVA À LUZ DA LEGISLAÇÃO DO ESTADO REQUERENTE – INDEFERIMENTO. Descabe a extradição, uma vez extinta a prescrição da pretensão punitiva, considerada a legislação penal do Estado requerente.",EXTRADIÇÃO
"Agravo regimental na Ação Originária. 2. Ação de cobrança. Magistrados vinculados ao Tribunal de Justiça do Estado de Alagoas. 3. EC 19/98. Impossibilidade de alteração da remuneração dos membros do Poder Judiciário sem prévia deliberação legislativa. Art. 96, II, “b”, da CF. 4. Ausência de argumentos suficientes a infirmar a decisão agravada. Vencimento básico. Questão do auxílio-moradia não tratada nos autos. 5. Agravo regimental a que se nega provimento.",AGRAVO REGIMENTAL
"Ementa: AGRAVO REGIMENTAL EM AÇÃO CÍVEL ORIGINÁRIA. INSCRIÇÃO DE ESTADO-MEMBRO NO SIAFI/CAUC. PEDIDO GENÉRICO. INVIABILIDADE. AGRAVO A QUE SE NEGA PROVIMENTO. I. O pedido deve ser formulado de forma certa e determinada, não se admitindo sua formulação em termos genéricos, salvo as exceções expressamente previstas (nenhuma delas aplicável ao presente caso). II. Agravo regimental a que se nega provimento, com majoração de honorários advocatícios, nos termos do art. 85, § 11º, do CPC.",AGRAVO REGIMENTAL
Embargos de declaração em extradição. Omissões. Supostas violações ao devido processo legal pelo Estado requerente. 2. Ausência de designação de tradutor nos procedimentos criminais perante o Estado requerente. Falta de demonstração da necessidade. Réu que era residente no Estado requerente e estava representado por defensor constituído. 3. Negativa de direito ao recurso. Tese analisada na decisão embargada. 4. Embargos de declaração rejeitados.,EMBARGOS DE DECLARAÇÃO
"Extradição instrutória. 2. Regência – Tratado de Extradição firmado entre Brasil e Peru em 19 de julho de 2006, em vigor no Brasil em razão do Decreto 5.853/06 e Estatuto do Estrangeiro – Lei 6.815/80. 3. Dupla tipicidade – art. 2, “b”, do Tratado e art. 77, II, do Estatuto do Estrangeiro. Fatos enquadrados pelo direito peruano como omissão de prestação de alimentos, com pena máxima cominada de três anos de privação de liberdade – art. 149 do Código Penal do Peru. No Brasil, os fatos correspondem formalmente ao crime de abandono material, com pena máxima cominada de quatro anos de detenção – art. 244 do Código Penal. Sentença condenatória a prestação de alimentos referentes a períodos pretéritos. Ausência de tipicidade material. 4. Extradição julgada improcedente, na forma do artigo 2, “b”, do Tratado e art. 77, II, do Estatuto do Estrangeiro.",EXTRADIÇÃO
Embargos de declaração. 2. Direito processual. Considerações em voto-vogal não transcritas no acórdão. Inexistência de direito subjetivo à transcrição. Precedente. 3. Embargos de declaração rejeitados.,EMBARGOS DE DECLARAÇÃO
"EMBARGOS DE DECLARAÇÃO EM AÇÃO RESCISÓRIA. DIREITO TRIBUTÁRIO. HONORÁRIOS ADVOCATÍCIOS. SUSPENSÃO DE EXIGIBILIDADE. AUSÊNCIA DE EFEITOS INFRINGENTES. ERRO MATERIAL. 1. Há na decisão embargada apenas inexatidão material, tendo em vista a suspensão da exigibilidade dos honorários advocatícios na parte dispositiva. 2. Embargos declaratórios a que se dá provimento, sem quaisquer efeitos infringentes, para corrigir erro material e infirmar a suspensão da exigibilidade dos honorários advocatícios, assim como a menção à Lei 1.060/50.",EMBARGOS DE DECLARAÇÃO
"EMENTA: EMBARGOS DE DECLARAÇÃO NA AÇÃO ORIGINÁRIA. ART. 499, § 1º, DO CÓDIGO DE PROCESSO CIVIL. NÃO SE CONHECE DE EMBARGOS OPOSTOS POR QUEM NÃO É PARTE NA CAUSA E NÃO DEMONSTRA SUA CONDIÇÃO DE TERCEIRO PREJUDICADO. EMBARGOS DE DECLARAÇÃO NÃO CONHECIDOS.",EMBARGOS DE DECLARAÇÃO
"EMBARGOS DECLARATÓRIOS – ESCLARECIMENTOS. Surgindo situação concreta a reclamar esclarecimentos, impõe-se prover os declaratórios, sem o empréstimo de eficácia modificativa.",EMBARGOS DE DECLARAÇÃO
EMBARGOS DECLARATÓRIOS EM AÇÃO RESCISÓRIA. DIREITO TRIBUTÁRIO. DIREITO PROCESSUAL CIVIL. DECISÃO MONOCRÁTICA. AUSÊNCIA DE EFEITOS INFRINGENTES. IMUNIDADE RECÍPROCA. IPTU. HONORÁRIOS ADVOCATÍCIOS. 1. São cabíveis embargos declaratórios opostos em face de provimento judicial na hipótese de omissão no que se refere à fixação de honorários advocatícios em favor da parte Vencedora da demanda. 2. Embargos declaratórios acolhidos para a fixação de honorários advocatícios no percentual de 5% do valor da demanda.,EMBARGOS DE DECLARAÇÃO
"AÇÃO DIRETA DE INCONSTITUCIONALIDADE – NORMA ATACADA – ALTERAÇÃO – PREJUÍZO. A superveniente modificação da norma impugnada, sem aditamento à inicial, implica o prejuízo do controle concentrado de constitucionalidade. PLANOS DE SAÚDE – REGÊNCIA – OBSERVÂNCIA. Os planos de saúde submetem-se aos ditantes constitucionais, à legislação da época em que contratados e às clausulas deles constantes – considerações.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"Embargos de declaração em ação penal privada. Penal. Processo Penal. 2. Inclusão do feito em pauta de julgamento. Adiamento para sessão posterior. Desnecessidade de nova intimação. Precedentes. 3. Inexistência de omissão, contradição ou obscuridade na decisão embargada. 4. Embargos de declaração rejeitados.",EMBARGOS DE DECLARAÇÃO
"Ação Direta de Inconstitucionalidade. 2. Lei Complementar Distrital n° 232/1999. Aumento de alíquota da contribuição para a previdência social dos servidores públicos ativos e inativos do Distrito Federal. 3. Alegação de ausência de avaliação atuarial. Violação ao princípio do equilíbrio financeiro e atuarial. Improcedência. 4. Caráter Confiscatório da Majoração. Não caracterização. 5. Ação direta de inconstitucionalidade conhecida em parte e, na parte conhecida, julgada improcedente. 6. Pedido prejudicado em relação ao art. 2°, alterado pela Lei Complementar n° 232/2004.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"Ação direta de inconstitucionalidade. 2. Lei estadual nº 5.645/1998, do Espírito Santo. Indenização de vítimas de violências praticadas por agentes estatais. 3. Inexistência de vício formal. Responsabilidade civil do Estado. Regulação de matéria exclusiva de direito administrativo. 4. Não regulação de matéria de competência exclusiva do Presidente da República. Inocorrência de usurpação de competência privativa da União. 5. Ação direta julgada improcedente.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
Ação direta de inconstitucionalidade. Resolução nº 106/2000 expedida pelo Tribunal Regional Eleitoral de Sergipe. Simulador de urna eletrônica. Propaganda eleitoral. Improcedência do pedido. 1. Não há ofensa à Constituição Federal em ato normativo de tribunal regional eleitoral que veda a utilização de simuladores de urna eletrônica como veículo de propaganda. Precedentes. 2. Ação direta julgada improcedente.,AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"PROCESSO NORMATIVO – INICIATIVA DO CHEFE DO PODER EXECUTIVO. Em se tratando de disciplina da atuação do próprio Poder Executivo, quanto à criação de conselho de acompanhamento, bem como de consequências jurídicas alusivas a relações mantidas com particulares, incumbe a iniciativa do projeto ao Chefe do Poder Executivo.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"Ementa: AGRAVO REGIMENTAL EM AÇÃO RESCISÓRIA. EXCEPCIONALIDADE DA RESCISÃO. COISA JULGADA. CLÁUSULA PÉTREA. DIVERGÊNCIA JURISPRUDENCIAL. NÃO CABIMENTO DE AÇÃO RESCISÓRIA. SÚMULA 343/STF. INCIDÊNCIA. AGRAVO A QUE SE NEGA PROVIMENTO. I – Divergência jurisprudencial não enseja ação rescisória. II – Coisa julgada consiste em cláusula pétrea constitucional, do que decorre a excepcionalidade da rescisão. III – Agravo regimental não provido.",AGRAVO REGIMENTAL
"ADMINISTRAÇÃO PÚBLICA – PUBLICIDADE. A transparência decorre do princípio da publicidade. TRIBUNAL DE CONTAS – FISCALIZAÇÃO – DOCUMENTOS. Descabe negar ao Tribunal de Contas o acesso a documentos relativos à Administração Pública e ações implementadas, não prevalecendo a óptica de tratar-se de matérias relevantes cuja divulgação possa importar em danos para o Estado. Inconstitucionalidade de preceito da Lei Orgânica do Tribunal de Contas do Estado do Ceará que implica óbice ao acesso.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"AÇÃO CAUTELAR – CADASTRO DE INADIMPLENTES – CONTRADITÓRIO – INOBSERVÂNCIA – LIMINAR DEFERIDA. Ante a não observância do contraditório, precedendo a inserção do Estado no cadastro de inadimplentes, surge a relevância do pedido formulado de afastamento da pecha, presente também o risco de manter com plena eficácia o quadro.",AGRAVO REGIMENTAL
"EMENTA: QUEIXA-CRIME. INJÚRIA. PRESCRIÇÃO. CALÚNIA. DIFAMAÇÃO. AUSENTE DESCRIÇÃO DA CONDUTA. QUEIXA- CRIME REJEITADA. 1. Está extinta a punibilidade do crime de injúria, tendo em vista a prescrição. 2. A narrativa constante da inicial não tipifica o crime de calúnia, para cuja configuração é necessário que tenha havido imputação concreta e individualizada, ao Querelante, de fato definido como crime. 3. A inicial também não narrou o crime difamação, cujo tipo penal demanda, além do insulto, a imputação, ao Querelante, de fato específico e definido, ofensivo à sua reputação. 4. Queixa-crime rejeitada.",INQUÉRITO
Ação direta de inconstitucionalidade. 2. Art. 49 do Código de Normas criado pelo Provimento nº 4/99 da Corregedoria-Geral de Justiça do Tribunal de Justiça do Estado do Maranhão: autorização do Presidente para ausência de magistrados da comarca. 3. Dupla inconstitucionalidade formal: matéria reservada a lei complementar e iniciativa exclusiva do Supremo Tribunal Federal. 4. Precedentes. 5. Ação direta de inconstitucionalidade julgada procedente.,AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"Inquérito. Competência originária. Penal. Processo Penal. 2. Art. 312, § 1º, do Código Penal (peculato-furto). Ressarcimento por despesas com contrato de prestação de serviços. Ausência de prova de que o serviço não foi prestado. Inexistência de justa causa para ação penal. 3. Denúncia rejeitada na forma do art. 395, III, do CPP.",INQUÉRITO
"Inquérito. Denúncia oferecida pelo Ministério Público Federal contra Deputado Federal. Suposta prática de uso de documentos falsos (arts. 304 c/c 297, ambos do Código Penal). 2. Inicial que atende aos requisitos do art. 41 do CPP. 3. Apresentação de documentos falsos no bojo de processo administrativo em curso no Tribunal de Contas do Estado do Rio de Janeiro (TCE-RJ nº 106.777-0/00). Falsidade atestada por exame grafotécnico. 4. Existência de lastro probatório mínimo para a instauração de persecução penal. Presença de indícios de autoria e materialidade delitiva. 5. Denúncia recebida.",INQUÉRITO
"EMENTA: EMBARGOS DE DECLARAÇÃO. PRETENSÃO DE REEXAME DA DECISÃO RECORRIDA. PLEITO DE MODIFICAÇÃO DA CAPITULAÇÃO DA DENÚNCIA E DE REANÁLISE DE PROVAS. INVIABILIDADE. REJEIÇÃO. 1. Não merecem acolhimento embargos declaratórios que, a pretexto de sanar omissões da decisão embargada, traduzem, na verdade, o inconformismo do embargante com a conclusão adotada. Precedentes. 2. Embargos declaratórios rejeitados.",EMBARGOS DE DECLARAÇÃO
"DENÚNCIA – RECEBIMENTO. Surgindo da narração contida na denúncia procedimento glosado penalmente e havendo indícios da autoria, cabe recebê-la, formalizando-se a ação penal.",INQUÉRITO
"AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI QUE INTERFERE SOBRE ATRIBUIÇÕES DE SECRETARIA DE ESTADO EM MATÉRIA SUJEITA À RESERVA DE ADMINISTRAÇÃO. 1. Lei que determina que a Secretaria de Segurança Pública do Estado de São Paulo envie aviso de vencimento da validade da Carteira Nacional de Habilitação a seus respectivos portadores. Matéria de reserva de administração, ensejando ônus administrativo ilegítimo. 2. Procedência da ação direta de inconstitucionalidade.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"INICIAL – AÇÃO DIRETA DE INCONSTITUCIONALIDADE – CAUSA DE PEDIR E PEDIDO. Embora aberta a causa de pedir, uma vez envolvido o controle concentrado de constitucionalidade, a inicial deve conter as razões pelas quais se tem como inconstitucional o preceito atacado. CARGOS – RÓTULO E CONTEÚDO – PROVIMENTO. Ante a nomenclatura e o conteúdo do cargo, vale dizer, as atribuições, cumpre homenagear, para defini-lo como de provimento efetivo ou não, a realidade, a prática comum na Administração Pública.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"DENÚNCIA – RECEBIMENTO. Atendidos os preceitos dos artigos 41 e 395 do Código de Processo Penal, cumpre receber a denúncia, viabilizando-se a atuação do Ministério Público em prol da sociedade.",INQUÉRITO
"Inquérito. 2. Competência originária. 3. Penal e Processual Penal. 4. Inépcia da denúncia. A descrição do objeto do crime, ainda que per relationem, é suficiente para a compreensão da imputação. 5. Destruição de floresta – art. 38 da Lei 9.608/98. Imputação de participação em destruição de floresta, mediante implementação, pelo prefeito municipal, de obras de infraestrutura que facilitaram a ocupação da área. Ocupação iniciada antes do mandato eletivo. Obras de infraestrutura que, em sua maioria, foram realizadas fora do período de gestão do denunciado. Ausência de adesão da conduta do gestor público à conduta dos ocupantes que realizam a destruição. Conduta descrita na denúncia como contribuição para o fato típico que é, ela mesma, atípica. Atipicidade da conduta. 6. Absolvição liminar do denunciado.",INQUÉRITO
Agravo regimental em ação cautelar. 2. Concessão de efeito suspensivo a recurso extraordinário. Recurso ainda não admitido na origem. Incidência da Súmula 634. 3. Recurso extraordinário interposto contra acórdão que manteve deferimento de liminar. Súmula 735. 4. Ausência de argumentos capazes de infirmar a decisão agravada. 5. Agravo regimental a que se nega provimento.,AGRAVO REGIMENTAL
"FALSIDADE IDEOLÓGICA – AUSÊNCIA DE ANOTAÇÃO NA CARTEIRA DE TRABALHO – ARTIGO 297, § 4º, DO CÓDIGO PENAL – ALCANCE. O disposto no artigo 297, § 4º, do Código Penal há de ser reservado a situações extravagantes, não alcançando a ausência de anotação em carteira de trabalho ante arregimentação de mão de obra intermediada para serviço temporário.",INQUÉRITO
"EMENTA: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI DISTRITAL N. 3.096/2002. REGULAMENTAÇÃO DA LOTERIA SOCIAL DO DISTRITO FEDERAL. COMPETÊNCIA PRIVATIVA DA UNIÃO. INCONSTITUCIONALIDADE. AÇÃO JULGADA PROCEDENTE. 1. É inconstitucional norma estadual ou distrital que regulamente o funcionamento de loterias, por ser matéria de competência privativa da União. 2. Ação direta julgada procedente.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"EMENTA: CONSTITUCIONAL. COMPETÊNCIA LEGISLATIVA. PACTO FEDERATIVO. VIOLAÇÃO. HIPÓTESE DE USO DE VEÍCULO APREENDIDO ESTABELECIDA POR ESTADO FEDERADO. RESERVA DE LEI DA UNIÃO PARA DISPOR SOBRE DIREITO PENAL, REQUISIÇÃO ADMINISTRATIVA, TRÂNSITO E PERDIMENTO DE BENS. A Lei 84.93/2004, do Estado do Rio Grande do Norte, viola os arts. arts. 5º, caput, XXV e XLV e 22, I, III e XI da Constituição, na medida em que estabelece hipótese de uso de veículo apreendido, ainda que em atividade de interesse público. Ação direta de inconstitucionalidade conhecida e julgada procedente.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
"EMENTA: AÇÃO DIRETA DE INCONSTITUCIONALIDADE – ADI. Medida provisória. Abertura de crédito extraordinário. Inexistência de imprevisibilidade e de urgência. Ato de efeitos concretos já exauridos. Inviabilidade manifesta. Seguimento negado de acordo com a jurisprudência da época. Prejuízo atual do pedido. Agravo improvido. Não é viável ação direta de inconstitucionalidade de edição de medida provisória para abertura de crédito extraordinário, se este já foi exaurido, e aquela não era, à época, admitida pela jurisprudência da Corte, contra ato de efeitos concretos.",AGRAVO REGIMENTAL
"EMENTA: PENAL E PROCESSO PENAL. RECEBIMENTO DE DENÚNCIA. EMBARGOS DE DECLARAÇÃO. AUSÊNCIA DE OMISSÃO, CONTRADIÇÃO OU OBSCURIDADE. EFEITOS MODIFICATIVOS. IMPOSSIBILIDADE DE REEXAME DA CAUSA. REJEIÇÃO. 1. O acórdão recorrido não apresenta qualquer omissão, ambiguidade ou contradição a ser sanada pelos declaratórios. 2. Não cabem embargos de declaração quando, a pretexto de sanar omissão, ambiguidade ou contradição inexistente, pretende a parte rediscutir a causa. 3. Acórdão recorrido que enfrentou todos os argumentos defensivos nos limites de cognição próprios da fase processual de recebimento da denúncia. 4. Embargos de declaração rejeitados.",EMBARGOS DE DECLARAÇÃO
"Ementa: EMBARGOS DE DECLARAÇÃO. AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEGITIMIDADE PARA RECORRER DAQUELE QUE, EMBORA LEGITIMADO PARA A PROPOSITURA DA ADI, NÃO É PARTE NESTA AÇÃO. INADMISSIBILIDADE. EMBARGOS NÃO CONHECIDOS. I – Não tem legitimidade recursal para opor aclaratórios terceiro que, embora seja legitimado universal para a propositura da ação direta de inconstitucionalidade, não é parte na relação instaurada no Supremo Tribunal Federal. II – Embargos de declaração não conhecidos.",EMBARGOS DE DECLARAÇÃO
"EMBARGOS DECLARATÓRIOS. Inexistente omissão, contradição ou obscuridade no acórdão proferido, impõe-se o desprovimento dos declaratórios.",EMBARGOS DE DECLARAÇÃO
"Inquérito. 2. Denúncia. Peculato (art. 312 CP). 3. Denunciado Francisco Ariosto Holanda. Insuficiência da prova da autoria. 4. Demais denunciados. Suficiência da prova do delito e dos indícios de autora. 5. Denúncia rejeitada quanto a Francisco Ariosto Holanda, na forma do art. 6º da Lei 8.038/90, combinado com art. 395, III, do CPP, e recebida quanto aos demais acusados. Maioria.",INQUÉRITO
"LEGITIMIDADE UNIVERSAL – ASSOCIAÇÃO DE MAGISTRADOS. As associações de magistrados não gozam da legitimidade universal para o processo objetivo, devendo ser demonstrada a pertinência temática. LEGITIMIDADE – EXECUÇÃO CONTRA A FAZENDA – DISCIPLINA – ASSOCIAÇÃO DE MAGISTRADOS. As associações de magistrados não têm legitimidade ativa quanto a processo objetivo a envolver normas relativas à execução contra a Fazenda, porque ausente a pertinência temática.",AÇÃO DIRETA DE INCONSTITUCIONALIDADE
