ementa,acordao,entail
"EMENTA: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. PROCESSO ADMINISTRATIVO N. 16.117/91 DO TRIBUNAL DE JUSTIÇA DO DISTRITO FEDERAL E TERRITÓRIOS. URPS DE JULHO DE 1987 A NOVEMBRO DE 1989. CONCESSÃO POR DECISÃO ADMINISTRATIVA. IMPOSSIBILIDADE. DIREITO ADQUIRIDO. INEXISTÊNCIA. PROCEDÊNCIA DA AÇÃO DIRETA. 1. A concessão de qualquer benefício remuneratório a servidores públicos exige lei específica, nos termos do art. 37, X, da Constituição Federal. Precedentes. 2. De acordo com a jurisprudência do Supremo Tribunal Federal, não há direito adquirido ao reajuste de 26,06% (Plano Bresser). 3. Ação direta de inconstitucionalidade julgada procedente.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a Presidência do Ministro RICARDO LEWANDOWSKI, na conformidade da ata de julgamento e das notas taquigráficas, por unanimidade e nos termos do voto do Relator, em julgar procedente o pedido formulado na ação direta.",1
"AÇÃO DIRETA DE INCONSTITUCIONALIDADE – NORMA ATACADA – ALTERAÇÃO – PREJUÍZO. A superveniente modificação da norma impugnada, sem aditamento à inicial, implica o prejuízo do controle concentrado de constitucionalidade. PLANOS DE SAÚDE – REGÊNCIA – OBSERVÂNCIA. Os planos de saúde submetem-se aos ditantes constitucionais, à legislação da época em que contratados e às clausulas deles constantes – considerações.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em julgar parcialmente prejudicada a ação e, na parte admitida, assentar parcialmente procedentes os pedidos, nos termos do voto do relator e por unanimidade, em sessão presidida pela Ministra Cármen Lúcia, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"Ação Direta de Inconstitucionalidade. 2. Lei Complementar Distrital n° 232/1999. Aumento de alíquota da contribuição para a previdência social dos servidores públicos ativos e inativos do Distrito Federal. 3. Alegação de ausência de avaliação atuarial. Violação ao princípio do equilíbrio financeiro e atuarial. Improcedência. 4. Caráter Confiscatório da Majoração. Não caracterização. 5. Ação direta de inconstitucionalidade conhecida em parte e, na parte conhecida, julgada improcedente. 6. Pedido prejudicado em relação ao art. 2°, alterado pela Lei Complementar n° 232/2004.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a presidência da Senhora Ministra Cármen Lúcia, na conformidade da ata de julgamento e das notas taquigráficas, por maioria de votos, conhecer da ação, para julgá-la improcedente, julgando prejudicado o pedido de declaração de inconstitucionalidade do art. 2º da norma impugnada, nos termos do voto do Relator. Plenário, 20 de junho de 2018. Ministro GILMAR MENDES Relator Documento assinado digitalmente",1
"Ação direta de inconstitucionalidade. 2. Lei estadual nº 5.645/1998, do Espírito Santo. Indenização de vítimas de violências praticadas por agentes estatais. 3. Inexistência de vício formal. Responsabilidade civil do Estado. Regulação de matéria exclusiva de direito administrativo. 4. Não regulação de matéria de competência exclusiva do Presidente da República. Inocorrência de usurpação de competência privativa da União. 5. Ação direta julgada improcedente.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a presidência do Senhor Ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das notas taquigráficas, por unanimidade de votos, julgar improcedente a ação direta, nos termos do voto do relator, ministro Gilmar Mendes.",1
Ação direta de inconstitucionalidade. Resolução nº 106/2000 expedida pelo Tribunal Regional Eleitoral de Sergipe. Simulador de urna eletrônica. Propaganda eleitoral. Improcedência do pedido. 1. Não há ofensa à Constituição Federal em ato normativo de tribunal regional eleitoral que veda a utilização de simuladores de urna eletrônica como veículo de propaganda. Precedentes. 2. Ação direta julgada improcedente.,"Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em sessão plenária, sob a presidência do Senhor Ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das notas taquigráficas, por maioria de votos e nos termos do voto do Relator, em julgar improcedente o pedido formulado na ação direta.",1
"PROCESSO NORMATIVO – INICIATIVA DO CHEFE DO PODER EXECUTIVO. Em se tratando de disciplina da atuação do próprio Poder Executivo, quanto à criação de conselho de acompanhamento, bem como de consequências jurídicas alusivas a relações mantidas com particulares, incumbe a iniciativa do projeto ao Chefe do Poder Executivo.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em julgar procedente o pedido formulado na ação direta para declarar a inconstitucionalidade da Lei nº 11.464, de 17 de abril de 2000, do Estado do Rio Grande do Sul, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Ricardo Lewandowski, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"ADMINISTRAÇÃO PÚBLICA – PUBLICIDADE. A transparência decorre do princípio da publicidade. TRIBUNAL DE CONTAS – FISCALIZAÇÃO – DOCUMENTOS. Descabe negar ao Tribunal de Contas o acesso a documentos relativos à Administração Pública e ações implementadas, não prevalecendo a óptica de tratar-se de matérias relevantes cuja divulgação possa importar em danos para o Estado. Inconstitucionalidade de preceito da Lei Orgânica do Tribunal de Contas do Estado do Ceará que implica óbice ao acesso.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em julgar procedente a ação com a declaração de inconstitucionalidade do § 3º do artigo 47 da Lei nº 12.509/1995, alterado pelo artigo 2º da Lei nº 13.037/2000, ambas do Estado do Ceará, nos termos do voto do relator e por unanimidade, em sessão presidida pela Ministra Cármen Lúcia, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
Ação direta de inconstitucionalidade. 2. Art. 49 do Código de Normas criado pelo Provimento nº 4/99 da Corregedoria-Geral de Justiça do Tribunal de Justiça do Estado do Maranhão: autorização do Presidente para ausência de magistrados da comarca. 3. Dupla inconstitucionalidade formal: matéria reservada a lei complementar e iniciativa exclusiva do Supremo Tribunal Federal. 4. Precedentes. 5. Ação direta de inconstitucionalidade julgada procedente.,"Vistos, relatados e discutidos estes autos, acordam os ministros do Supremo Tribunal Federal, em sessão plenária, sob a presidência da ministra Cármen Lúcia, vice-presidente, na conformidade da ata do julgamento e das notas taquigráficas, por unanimidade de votos, julgar procedente a ação direta, nos termos do voto do Relator. Brasília, 30 de outubro de 2014.",1
"AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI QUE INTERFERE SOBRE ATRIBUIÇÕES DE SECRETARIA DE ESTADO EM MATÉRIA SUJEITA À RESERVA DE ADMINISTRAÇÃO. 1. Lei que determina que a Secretaria de Segurança Pública do Estado de São Paulo envie aviso de vencimento da validade da Carteira Nacional de Habilitação a seus respectivos portadores. Matéria de reserva de administração, ensejando ônus administrativo ilegítimo. 2. Procedência da ação direta de inconstitucionalidade.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, sob a Presidência da Ministra Cármen Lúcia (Vice-Presidente), na conformidade da ata de julgamento e das notas taquigráficas, por maioria de votos, em julgar procedente a ação direta para declarar a inconstitucionalidade da Lei nº 10.877, de 10 de setembro de 2001, do Estado de São Paulo, vencidos os Ministros Marco Aurélio (Relator) e Luiz Fux, que a julgavam improcedente. Redigirá o acórdão o Ministro Luís Roberto Barroso. Ausentes, justificadamente, o Ministro Ricardo Lewandowski (Presidente), em viagem à Itália para participar da “101ª Sessão Plenária da Comissão de Veneza”, e, neste julgamento, o Ministro Dias Toffoli. Brasília, 11 de dezembro de 2014.",1
"INICIAL – AÇÃO DIRETA DE INCONSTITUCIONALIDADE – CAUSA DE PEDIR E PEDIDO. Embora aberta a causa de pedir, uma vez envolvido o controle concentrado de constitucionalidade, a inicial deve conter as razões pelas quais se tem como inconstitucional o preceito atacado. CARGOS – RÓTULO E CONTEÚDO – PROVIMENTO. Ante a nomenclatura e o conteúdo do cargo, vale dizer, as atribuições, cumpre homenagear, para defini-lo como de provimento efetivo ou não, a realidade, a prática comum na Administração Pública.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal em admitir parcialmente a ação direta de inconstitucionalidade e julgar procedente o pedido nela veiculado, nos termos do voto do relator e por unanimidade, em sessão presidida pelo Ministro Dias Toffoli, na conformidade da ata do julgamento e das respectivas notas taquigráficas.",1
"EMENTA: AÇÃO DIRETA DE INCONSTITUCIONALIDADE. LEI DISTRITAL N. 3.096/2002. REGULAMENTAÇÃO DA LOTERIA SOCIAL DO DISTRITO FEDERAL. COMPETÊNCIA PRIVATIVA DA UNIÃO. INCONSTITUCIONALIDADE. AÇÃO JULGADA PROCEDENTE. 1. É inconstitucional norma estadual ou distrital que regulamente o funcionamento de loterias, por ser matéria de competência privativa da União. 2. Ação direta julgada procedente.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a Presidência da Ministra Cármen Lúcia, na conformidade da ata de julgamento e das notas taquigráficas, por maioria e nos termos do voto do Relator, em julgar procedente a presente ação direta para declarar a inconstitucionalidade da Lei Distrital n. 3.096, de 24 de dezembro de 2002, que altera e amplia os dispositivos da Lei 1.176, que, por sua vez, regula a Loteria Social do Distrito Federal, vencido o Ministro Marco Aurélio.",1
"EMENTA: CONSTITUCIONAL. COMPETÊNCIA LEGISLATIVA. PACTO FEDERATIVO. VIOLAÇÃO. HIPÓTESE DE USO DE VEÍCULO APREENDIDO ESTABELECIDA POR ESTADO FEDERADO. RESERVA DE LEI DA UNIÃO PARA DISPOR SOBRE DIREITO PENAL, REQUISIÇÃO ADMINISTRATIVA, TRÂNSITO E PERDIMENTO DE BENS. A Lei 84.93/2004, do Estado do Rio Grande do Norte, viola os arts. arts. 5º, caput, XXV e XLV e 22, I, III e XI da Constituição, na medida em que estabelece hipótese de uso de veículo apreendido, ainda que em atividade de interesse público. Ação direta de inconstitucionalidade conhecida e julgada procedente.","Vistos, relatados e discutidos estes autos, acordam os ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a presidência do ministro Joaquim Barbosa, na conformidade da ata do julgamento e das notas taquigráficas, por unanimidade de votos e nos termos do voto do Relator, em julgar procedente a ação direta de inconstitucionalidade. Brasília, 23 de maio de 2013.",1
"Mandado de segurança. 2. Ato do Tribunal de Contas da União homologatório de aposentadoria supressor de adicional de tempo de serviço por decisão do extinto Tribunal Federal de Recursos trânsita em julgado anterior à Constituição de 1988. 3. Direito adquirido. 4. Inoponível - Art. 17 do ADCT; RE-EDiv 146.331, RE RG 600.658 e MS 24.875 - Plenário. 5. Segurança denegada.","Vistos, relatados e discutidos estes autos, acordam os ministros do Supremo Tribunal Federal, em sessão plenária, sob a presidência do ministro Ricardo Lewandowski, na conformidade da ata de julgamento e das notas taquigráficas, por maioria, denegar a segurança, nos termos do voto do Redator do acórdão. Vencidos Eros Grau e Ricardo Lewandowski. Brasília, 26 de novembro de 2015.",1
"EMENTA: MANDADO DE SEGURANÇA. ADMINISTRATIVO E PREVIDENCIÁRIO. SERVIDOR PÚBLICO APOSENTADO. SUSPENSÃO DO PAGAMENTO DOS ADICIONAIS POR TEMPO DE SERVIÇO ( LEI 4.047/1961) RECONHECIDO EM DECISÃO TRANSITADA EM JULGADO. ART. 5º, INC. XXXVI, DA CONSTITUIÇÃO DA REPÚBLICA. INAPLICABILIDADE DO ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS DA CONSTITUIÇÃO DA REPÚBLICA. PRECEDENTES. SEGURANÇA CONCEDIDA.","Vistos, relatados e discutidos estes autos, acordam os Ministros do Supremo Tribunal Federal, em Sessão Plenária, sob a Presidência da Ministra Cármen Lúcia (Vice-Presidente), na conformidade da ata do julgamento e das notas taquigráficas, por unanimidade, em conceder a segurança, nos termos do voto da Relatora. Ausente, justificadamente, o Ministro Ricardo Lewandowski (Presidente), no exercício da Presidência da República.",1
